filename	transcript
stephanie_qajars_welcome	Welcome to the Qajars. One bankrupt dynasty and two empires conducting their rivalry across your front garden. We shall begin with the wars, because losing a war is the quickest way to learn where you live.
stephanie_qajars_start_single	Right. The board. Let us see what survived the reading.
stephanie_qajars_start_double	Round two, and rather more money on the table. Do choose a subject you have actually opened a book about.
stephanie_qajars_handover	Correct, well played. The board is yours.
stephanie_qajars_wager	A Daily Double. You may wager. History suggests you will wager badly.
stephanie_qajars_final	Final Jeopardy. One answer, one wager, and no opportunity whatsoever to hedge.
stephanie_qajars_streak	Three in a row. One would almost call it a method.
stephanie_qajars_comeback	A comeback. How thoroughly nineteenth-century of you.
stephanie_qajars_lead	You are ahead. Do try not to develop a theory about why.
stephanie_qajars_win	And that is the game, and you have won it. I shall try not to let it colour my marking.
stephanie_qajars_loss	And that is the game. You have lost. Usefully, one hopes.
stephanie_qajars_leave	That is your hour. Do the reading. I dislike improvising the seminar on your behalf.
stephanie_qajars_timeout	Time. The nineteenth century has moved on without you.
stephanie_qajars_lockout	And you have locked yourself out. Bold, in the circumstances.
stephanie_qajars_right_01_do_not_look_pleased	Correct. Do try not to look so pleased with yourself.
stephanie_qajars_right_02_somebody_did_the_reading	Ah. So somebody did the reading.
stephanie_qajars_right_03_one_is_almost_impressed	Yes. One is almost impressed.
stephanie_qajars_right_04_a_stopped_clock	Quite right. Even a stopped clock, and so on.
stephanie_qajars_right_05_mark_that_down_grudgingly	Correct. I shall mark that down, grudgingly.
stephanie_qajars_right_06_a_mind_in_there	Well. There is a mind in there after all.
stephanie_qajars_right_07_also_the_easy_one	Yes, that is the answer. It is also the easy one.
stephanie_qajars_right_08_stop_fidgeting	Correct. You may now stop fidgeting.
stephanie_qajars_right_09_a_book_singular	Right. Somebody has read a book. Singular.
stephanie_qajars_right_10_a_long_way_up	Correct. Do not let it go to your head; it is a long way up.
stephanie_qajars_right_11_too_much_confidence	Yes. A sound answer, delivered with entirely too much confidence.
stephanie_qajars_right_12_i_had_money_on_it	Correct. I had money on you not knowing that.
stephanie_qajars_right_13_shall_i_get_you_a_sherry	Quite. Shall I get you a sherry?
stephanie_qajars_right_14_your_tutor_would_be_surprised	Correct. Your tutor would be… surprised.
stephanie_qajars_right_15_right_occasionally	Yes, well. Even you must be right occasionally.
stephanie_qajars_right_16_it_rarely_visits	Correct. Try to remember the feeling; it rarely visits.
stephanie_qajars_wrong_01_said_with_conviction	No. But said with real conviction. Alarming.
stephanie_qajars_wrong_02_one_admires_the_certainty	Wrong. One does admire the certainty.
stephanie_qajars_wrong_03_so_very_sure	No. And you were so very sure of it.
stephanie_qajars_wrong_04_considered_reading	Wrong, I am afraid. Have you considered reading?
stephanie_qajars_wrong_05_not_history_a_mood	No. That is not history, that is a mood.
stephanie_qajars_wrong_06_confidently_though	Wrong. Confidently, though. That is something.
stephanie_qajars_wrong_07_oh_dear_no	Oh dear. No.
stephanie_qajars_wrong_08_your_seminar_group	Wrong. Your seminar group will never know.
stephanie_qajars_wrong_09_never_been_given	No. That answer has never been given in this room before, which is not a compliment.
stephanie_qajars_wrong_10_hereditary	Wrong. One can only hope the confidence is hereditary.
stephanie_qajars_wrong_11_sit_with_it	No. Sit with it a moment.
stephanie_qajars_wrong_12_pretend_we_did_not_hear	I shall pretend we did not hear that.
stephanie_qajars_wrong_13_bold_baseless_and_brisk	No. Bold, baseless, and brisk. How very modern.
stephanie_qajars_wrong_14_a_publisher_is_weeping	Wrong. Somewhere a publisher is weeping.
stephanie_qajars_wrong_15_hoped_you_would_surprise_me	No. One had rather hoped you would surprise me.
stephanie_qajars_wrong_16_do_not_explain_it	Wrong. Do not explain it to anyone. Ever.
